id,name,type,senderart,Online,Print,TV,Radio,Studium,Ausbildung,Praktikum,Volontariat
AmbrosiusF,FlorianAmbrosius,0,,0,0,0,0,0,0,0,0
Ausbildung_Elektronikfacharbeit,AusbildungElektronikfacharbeit,1,,0,0,0,0,0,1,0,0
Ausbildung_Journalistenschule,AusbildungJournalsitenschule,1,,0,0,0,0,0,1,0,0
Ausbildung_Meteorologie,AusbildungMeteorologie,1,,0,0,0,0,0,1,0,0
Ausbildung_Moderation,AusbildungModeration,1,,0,0,0,0,0,1,0,0
Ausbildung_Sportreporter,AusbildungSportreporter,1,,0,0,0,0,0,1,0,0
Ausbildung_Werbekauffrau,AusbildungWerbekauffrau,1,,0,0,0,0,0,1,0,0
BaeckerD,DonaldBaecker,0,,0,0,0,0,0,0,0,0
BiewerM,MaxiBiewer,0,,0,0,0,0,0,0,0,0
BoschmannD,DanielBoschmann,0,,0,0,0,0,0,0,0,0
BreyerJ,JochenBreyer,0,,0,0,0,0,0,0,0,0
FingererbenA,AngelaFingererben,0,,0,0,0,0,0,0,0,0
GrossmannP,PeterGroßmann,0,,0,0,0,0,0,0,0,0
HahnJ,JanHahn,0,,0,0,0,0,0,0,0,0
HayaliD,DunjaHayali,0,,0,0,0,0,0,0,0,0
HeinrichK,KarenHeinrich,0,,0,0,0,0,0,0,0,0
HeydeA,AnjaHeyde,0,,0,0,0,0,0,0,0,0
ImhofE,EvaImhof,0,,0,0,0,0,0,0,0,0
KillingM,MatthiasKilling,0,,0,0,0,0,0,0,0,0
KnaebleJ,JenniferKnaeble,0,,0,0,0,0,0,0,0,0
KonsW,WolfgangKons,0,,0,0,0,0,0,0,0,0
LinkS,SusanLink,0,,0,0,0,0,0,0,0,0
LorigS,SvenLorig,0,,0,0,0,0,0,0,0,0
LufenM,MarleneLufen,0,,0,0,0,0,0,0,0,0
MeierC,ChristianeMeier,0,,0,0,0,0,0,0,0,0
NassifT,TilNassif,0,,0,0,0,0,0,0,0,0
NaumannS,SaskiaNaumann,0,,0,0,0,0,0,0,0,0
Online_Spox.com,Spoxcom,1,privat,1,0,0,0,0,0,0,0
Online_ZeitOnline,ZeitOnline,1,privat,1,0,0,0,0,0,0,0
PareigisJ,JanePareigis,0,,0,0,0,0,0,0,0,0
PlankenA,AnnaPlanken,0,,0,0,0,0,0,0,0,0
Praktikum_Radio_DeutscheWelle,PraktikumDeutscheWelle,1,oeffentlich rechtlich,0,0,0,1,0,0,1,0
Praktikum_TV_ABC,PraktikumABC,1,privat,0,0,1,0,0,0,1,0
Praktikum_TV_Eurosport,PraktikumEurosport,1,privat,0,0,1,0,0,0,1,0
Praktikum_TV_SAT1,Praktikum SAT1,1,privat,0,0,1,0,0,0,1,0
Praktikum_TV_SKY,Praktikum Sky,1,privat,0,0,1,0,0,0,1,0
Praktikum_Zeitung_Bild,Praktikum Bild,1,privat,0,1,0,0,0,0,1,0
Radio_Bayrisches_Lokalradio,Bayrisches Lokalradio,1,privat,0,0,0,1,0,0,0,0
Radio_BR,Bayrischer Rundfunk,1,oeffentlich rechtlich,0,0,0,1,0,0,0,0
Radio_Charivari,Radio Charivari,1,,0,0,0,1,0,0,0,0
Radio_DeutscheWelle,Radio Deutsche Welle,1,oeffentlich rechtlich,0,0,0,1,0,0,0,0
Radio_Energy_Berlin,Radio Energy Berlin,1,privat,0,0,0,1,0,0,0,0
Radio_Energy_Sachsen,Radio Energy Sachsen,1,privat,0,0,0,1,0,0,0,0
Radio_KissFM,Kiss FM,1,privat,0,0,0,1,0,0,0,0
Radio_MDR,MDR,1,oeffentlich rechtlich,0,0,0,1,0,0,0,0
Radio_Neandertal,Radio Neandertal,1,,0,0,0,1,0,0,0,0
Radio_NRJ,Radio NRJ,1,privat,0,0,0,1,0,0,0,0
Radio_RadioBremen,Radio Bremen,1,oeffentlich rechtlich,0,0,0,1,0,0,0,0
Radio_RadioDortmund,Radio Dortmund,1,privat,0,0,0,1,0,0,0,0
Radio_RadioKoeln,Radio Koeln,1,privat,0,0,0,1,0,0,0,0
Radio_RadioMultikulti,Radio Multikulti,1,oeffentlich rechtlich,0,0,0,1,0,0,0,0
Radio_RadioWuppertal,Radio Wuppertal,1,privat,0,0,0,1,0,0,0,0
Radio_rs2,RS2,1,privat,0,0,0,1,0,0,0,0
Radio_RTL,RTL Radio,1,privat,0,0,0,1,0,0,0,0
Radio_SenderPotsdam,Sender Potsdam,1,,0,0,0,1,0,0,0,0
Radio_SpreeRadio,Spreeradio,1,privat,0,0,0,1,0,0,0,0
Radio_StarFM,Star FM,1,privat,0,0,0,1,0,0,0,0
